Titulo;Autor;Interprete;Tom;Categoria;Categoria rotulo;Link da letra;Link da cifra;Link de referencia;Observacao;Ativo
SALMO 127;Canção Nova;Canção Nova;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/cancao-nova/salmo-127/;https://www.cifraclub.com.br/cancao-nova/salmo-127/;https://www.youtube.com/results?search_query=Canção+Nova+Salmo+127;Pós-comunhão / oração / ação de graças;Sim
SALVADOR;Frei Gilson;Frei Gilson;C;OUTROS;Outros;https://www.cifraclub.com.br/frei-gilson/salvador/;https://www.cifraclub.com.br/frei-gilson/salvador/;https://www.youtube.com/results?search_query=Frei+Gilson+SALVADOR;Jesus Salvador / louvor;Sim
SALVE RAINHA;Canção Nova;Canção Nova;;MARIANA;Mariana;https://www.cifraclub.com.br/cancao-nova/salve-rainha/;https://www.cifraclub.com.br/cancao-nova/salve-rainha/;https://www.youtube.com/results?search_query=Canção+Nova+Salve+Rainha;Mariana;Sim
SALVE RAINHA DO CÉU;Ministério Amor e Adoração;Ministério Amor e Adoração;;MARIANA;Mariana;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/salve-rainha-do-ceu/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/salve-rainha-do-ceu/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Salve+Rainha+do+Céu;Mariana;Sim
SALVOS PELA CRUZ;Frei Gilson;Frei Gilson;A;OUTROS;Outros;https://www.cifraclub.com.br/frei-gilson/salvos-pela-cruz/;https://www.cifraclub.com.br/frei-gilson/salvos-pela-cruz/;https://www.youtube.com/results?search_query=Frei+Gilson+SALVOS+PELA+CRUZ;Cruz / redenção;Sim
SANCTUS;Comunidade Católica Shalom;Comunidade Católica Shalom;;SANTO;Santo;https://www.cifraclub.com.br/comunidade-catolica-shalom/sanctus/;https://www.cifraclub.com.br/comunidade-catolica-shalom/sanctus/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Sanctus;Santo;Sim
SANTA MANIFESTAÇÃO;;;;ENTRADA;Entrada;;;;Entrada / Epifania;Sim
SANTA MARIA DO CAMINHO;Juan Antonio Espinosa;Músicas Católicas;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+SANTA+MARIA+DO+CAMINHO;Mariana / caminhada e missão;Sim
SANTA MARIA, EU QUERO TE AGRADECER;Irmã Míria T. Kolling;Músicas Católicas;A;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/catolicas/santa-maria-eu-quero-te-agradecer-acao-de-gracas/;https://www.cifraclub.com.br/catolicas/santa-maria-eu-quero-te-agradecer-acao-de-gracas/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+SANTA+MARIA%2C+EU+QUERO+TE+AGRADECER;Ação de graças após a Comunhão / mariana e eucarística;Sim
SANTA MÃE DE DEUS;;;;ENTRADA;Entrada;;;;Entrada / Santa Maria, Mãe de Deus;Sim
SANTA MÃE MARIA;Anjos de Resgate;Anjos de Resgate;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Anjos+de+Resgate+SANTA+M%C3%83E+MARIA;Mariana / maternidade de Maria;Sim
SANTO;Frei Gilson;Frei Gilson;E;SANTO;Santo;https://www.letras.mus.br/frei-gilson/2873630/;https://www.cifraclub.com.br/frei-gilson/santo/;;Aclamação do Santo;Sim
SANTO;Ministério Amor e Adoração;Ministério Amor e Adoração;C;SANTO;Santo;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/santo/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/santo/;;Aclamação do Santo;Sim
SANTO (SANTO, SANTO, SANTO É O SENHOR, NOSSO DEUS);Músicas Católicas;Músicas Católicas;D;SANTO;Santo;https://www.cifraclub.com.br/catolicas/santo-santo-santo-santo-e-o-senhor-nosso-deus/;https://www.cifraclub.com.br/catolicas/santo-santo-santo-santo-e-o-senhor-nosso-deus/;;"Santo da Missa; versão em D";Sim
SANTO 2;Ministério Amor e Adoração;Ministério Amor e Adoração;G;SANTO;Santo;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/santo-2/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/santo-2/;;Aclamação do Santo;Sim
SANTO ESPÍRITO;Frei Gilson;Frei Gilson;;ESPIRITO_SANTO;Espírito Santo;;;https://www.youtube.com/results?search_query=Frei+Gilson+SANTO+ESP%C3%8DRITO;Invocação ao Espírito Santo;Sim
SANTO ESPÍRITO, SANTO ESPÍRITO;Comunidade Católica Shalom;Comunidade Católica Shalom;Am;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/comunidade-catolica-shalom/santo-espirito-santo-espirito/;https://www.cifraclub.com.br/comunidade-catolica-shalom/santo-espirito-santo-espirito/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+SANTO+ESP%C3%8DRITO%2C+SANTO+ESP%C3%8DRITO;Invocação ao Espírito Santo / fogo e amor;Sim
SANTO II;Ministério Amor e Adoração;Ministério Amor e Adoração;C;SANTO;Santo;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/santo-ii/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/santo-ii/;;"Santo da Missa; texto litúrgico do Sanctus";Sim
SANTO III;Adolfo Temme;CNBB;Bm;SANTO;Santo;https://www.cifraclub.com.br/cnbb/santo-iii/;https://www.cifraclub.com.br/cnbb/santo-iii/;;"Santo da Missa / Ordinário; texto litúrgico do Sanctus";Sim
SANTO IV;CNBB;CNBB;Eb;SANTO;Santo;https://www.cifraclub.com.br/cnbb/santo-iv/;https://www.cifraclub.com.br/cnbb/santo-iv/;;"Santo da Missa / Ordinário; texto litúrgico do Sanctus";Sim
SANTO MODELO DE LAR;;;;ENTRADA;Entrada;;;;Entrada / Sagrada Família;Sim
SANTO V;Pe. Jose Geraldo de Souza;CNBB;A;SANTO;Santo;https://www.cifraclub.com.br/cnbb/santo-v/;https://www.cifraclub.com.br/cnbb/santo-v/;;"Santo da Missa / Ordinário; texto litúrgico do Sanctus";Sim
SANTO É O SENHOR (CD NA DANÇA DA VIDA);"Fernando Martins; Nicodemos Costa; Wilde Fábio; Leozany Oliveira; Debora Morais; Cristiano Pinheiro";Comunidade Católica Shalom;G;SANTO;Santo;https://www.cifraclub.com.br/comunidade-catolica-shalom/santo-e-o-senhor/;https://www.cifraclub.com.br/comunidade-catolica-shalom/santo-e-o-senhor/;;"Santo da Missa; contém Santo, proclamação da glória, Hosana e Bendito";Sim
SANTO É O SENHOR (CD RESSUSCITOU);"Fernando Martins; Nicodemos Costa; Wilde Fábio; Leozany Oliveira; Debora Morais; Cristiano Pinheiro";Comunidade Católica Shalom;G;SANTO;Santo;https://www.cifraclub.com.br/comunidade-catolica-shalom/santo-e-o-senhor-cd-ressuscitou/;https://www.cifraclub.com.br/comunidade-catolica-shalom/santo-e-o-senhor-cd-ressuscitou/;;"Santo da Missa; versão do álbum Ressuscitou";Sim
SANTO, SANTO, SANTO SENHOR DEUS DO UNIVERSO;Músicas Católicas;Músicas Católicas;A;SANTO;Santo;https://www.cifraclub.com.br/catolicas/santo-santo-santo-senhor-deus-do-universo/;https://www.cifraclub.com.br/catolicas/santo-santo-santo-senhor-deus-do-universo/;;"Santo da Missa; versão em A";Sim
SANTO, SANTO, SANTO É O SENHOR (HOSANA);Canção Nova;Canção Nova;;SANTO;Santo;https://www.cifraclub.com.br/cancao-nova/santo-santo-santo-e-o-senhor-hosana/;https://www.cifraclub.com.br/cancao-nova/santo-santo-santo-e-o-senhor-hosana/;https://www.youtube.com/results?search_query=Canção+Nova+Santo,+Santo,+Santo+É+O+Senhor+(Hosana);Santo;Sim
SANTO, SANTO, SANTO É O SENHOR - SENHOR DEUS DO UNIVERSO;Músicas Católicas;Músicas Católicas;Bm;SANTO;Santo;https://www.cifraclub.com.br/catolicas/santo-santo-santo-e-o-senhor-senhor-deus-do-universo/;https://www.cifraclub.com.br/catolicas/santo-santo-santo-e-o-senhor-senhor-deus-do-universo/;;"Santo da Missa; versão em Bm";Sim
SANTO, SANTO, SANTO, SENHOR DEUS DO UNIVERSO;Ministério Amor e Adoração;Ministério Amor e Adoração;;SANTO;Santo;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/santo-santo-santo-senhor-deus-do-universo/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/santo-santo-santo-senhor-deus-do-universo/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Santo,+Santo,+Santo,+Senhor+Deus+do+Universo;Santo;Sim
SANTO, SENHOR, DEUS DO UNIVERSO;Padre Pedro Brito Guimarães;Músicas Católicas;C;SANTO;Santo;https://www.cifraclub.com.br/catolicas/santo-senhor-deus-do-universo/;https://www.cifraclub.com.br/catolicas/santo-senhor-deus-do-universo/;;"Santo da Missa; texto do Sanctus";Sim
SE COMPREENDESSES O DOM DE DEUS;Adriana Arydes;Adriana Arydes;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/adriana/se-compreendesses-o-dom-de-deus/;https://www.cifraclub.com.br/adriana/se-compreendesses-o-dom-de-deus/;https://www.youtube.com/results?search_query=Adriana+Arydes+Se+Compreendesses+o+Dom+de+Deus;Pós-comunhão / oração / ação de graças;Sim
SE NÃO FOR O TEU AMOR;Comunidade Católica Shalom;Comunidade Católica Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/comunidade-catolica-shalom/se-nao-for-o-teu-amor/;https://www.cifraclub.com.br/comunidade-catolica-shalom/se-nao-for-o-teu-amor/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Se+Não+For+o+Teu+Amor;Pós-comunhão / oração / ação de graças;Sim
SE QUERES;Ministério Amor e Adoração;Ministério Amor e Adoração;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/se-queres/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/se-queres/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Se+Queres;Pós-comunhão / oração / ação de graças;Sim
SEDE DE DEUS;José Raimundo Galvão;José Raimundo Galvão;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=1OS-NC4SzYg;Comunhão / desejo de Deus;Sim
SEGURA A MINHA MÃO;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/segura-a-minha-mao/;https://www.cifraclub.com.br/davidson-silva/segura-a-minha-mao/;https://www.youtube.com/results?search_query=Davidson+Silva+Segura+a+Minha+Mão;Pós-comunhão / oração / ação de graças;Sim
SEGURA NA MÃO DE DEUS;Nelson Monteiro da Mota;Padre Marcelo Rossi;E;FINAL;Final;https://www.cifraclub.com.br/padre-marcelo-rossi/segura-na-mao-de-deus/;https://www.cifraclub.com.br/padre-marcelo-rossi/segura-na-mao-de-deus/;https://www.youtube.com/results?search_query=Padre+Marcelo+Rossi+SEGURA+NA+M%C3%83O+DE+DEUS;Canto final / envio, perseverança e caminhada;Sim
SEJA MEU TUDO;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/seja-meu-tudo/;https://www.cifraclub.com.br/davidson-silva/seja-meu-tudo/;https://www.youtube.com/results?search_query=Davidson+Silva+Seja+Meu+Tudo;Pós-comunhão / oração / ação de graças;Sim
SENHOR PIEDADE;Padre Marcelo Rossi;Padre Marcelo Rossi;;ATO_PENITENCIAL;Ato Penitencial;;;;Ato penitencial / perdão;Sim
SENHOR QUE VIESTES NÃO PARA CONDENAR;Andre Zamur;David Melo;D;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/david-melo/ato-penitencial-senhor-que-viestes-nao-para-condenar/;https://www.cifraclub.com.br/david-melo/ato-penitencial-senhor-que-viestes-nao-para-condenar/;;Ato penitencial / misericórdia;Sim
SENHOR QUE VIESTES SALVAR;Canção Nova;Canção Nova;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/cancao-nova/senhor-que-viestes-salvar/;https://www.cifraclub.com.br/cancao-nova/senhor-que-viestes-salvar/;https://www.youtube.com/results?search_query=Canção+Nova+Senhor+Que+Viestes+Salvar;Pós-comunhão / oração / ação de graças;Sim
SENHOR QUE VINDES VISITAR VOSSO POVO NA PAZ;Músicas Católicas;Músicas Católicas;D;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/catolicas/ato-penitencial-senhor-que-vindes-visitar-vosso-povo-na-paz/;https://www.cifraclub.com.br/catolicas/ato-penitencial-senhor-que-vindes-visitar-vosso-povo-na-paz/;;Ato penitencial / Advento e reconciliação;Sim
SENHOR TENDE PIEDADE;Campanha da Fraternidade 2015;Campanha da Fraternidade 2015;D;ATO_PENITENCIAL;Ato Penitencial;;;;Ato penitencial / Quaresma;Sim
SENHOR TENDE PIEDADE E PERDOAI A NOSSA CULPA;Padre Marcelo Rossi;Padre Marcelo Rossi;;ATO_PENITENCIAL;Ato Penitencial;;;;Ato penitencial / reconciliação;Sim
SENHOR, MEU DEUS, QUANDO EU MARAVILHADO;"Adaptação de How Great Thou Art; melodia tradicional sueca";CNBB / Música Litúrgica;;FINAL;Final;;;https://www.youtube.com/results?search_query=CNBB+%2F+M%C3%BAsica+Lit%C3%BArgica+SENHOR%2C+MEU+DEUS%2C+QUANDO+EU+MARAVILHADO;Canto final / Santíssima Trindade / louvor final;Sim
SENHOR, TENDE PIEDADE DE NÓS;Léo Mantovani;Léo Mantovani;D;ATO_PENITENCIAL;Ato Penitencial;;;;Ato penitencial / reconciliação;Sim
SENHOR, VEM DAR-NOS SABEDORIA;"Ir. Míria T. Kolling; Pe. Lúcio Floro";CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;;;https://www.youtube.com/watch?v=_U7vorWxnXw;Pentecostes / Comunhão / dons do Espírito;Sim
SEQUÊNCIA DE PENTECOSTES - VINDE, ESPÍRITO DIVINO;Sequência litúrgica de Pentecostes;CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;;;https://www.youtube.com/results?search_query=CNBB+%2F+M%C3%BAsica+Lit%C3%BArgica+SEQU%C3%8ANCIA+DE+PENTECOSTES+-+VINDE%2C+ESP%C3%8DRITO+DIVINO;Pentecostes / sequência litúrgica Veni Sancte Spiritus;Sim
SER SHALOM É SER FELIZ;Comunidade Católica Shalom;Comunidade Católica Shalom;E;OUTROS;Outros;https://www.cifraclub.com.br/comunidade-catolica-shalom/ser-shalom-e-ser-feliz/;https://www.cifraclub.com.br/comunidade-catolica-shalom/ser-shalom-e-ser-feliz/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+SER+SHALOM+%C3%89+SER+FELIZ;Vocação / carisma / missão;Sim
SEREI TEU;Ministério Missionário Shalom;Ministério Missionário Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/missionario-shalom/serei-teu/;https://www.cifraclub.com.br/missionario-shalom/serei-teu/;https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+Serei+Teu;Pós-comunhão / oração / ação de graças;Sim
SINAL DO MEU AMOR;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/sinal-do-meu-amor/;https://www.cifraclub.com.br/davidson-silva/sinal-do-meu-amor/;https://www.youtube.com/results?search_query=Davidson+Silva+Sinal+do+Meu+Amor;Pós-comunhão / oração / ação de graças;Sim
SOBE A JERUSALÉM;"Valdeci Farias; Dom Carlos Alberto Navarro";Músicas Católicas;D;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/catolicas/sobe-jerusalem/;https://www.cifraclub.com.br/catolicas/sobe-jerusalem/;;"Apresentação das oferendas / Oferta e oblação; celebrações marianas";Sim
SOIS O CAMINHO;Comunidade Católica Shalom;Comunidade Católica Shalom;C;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/comunidade-catolica-shalom/sois-o-caminho/;https://www.cifraclub.com.br/comunidade-catolica-shalom/sois-o-caminho/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Sois+o+Caminho;Pós-comunhão / oração / ação de graças;Sim
SOPRA EM MEU JARDIM;Comunidade Católica Shalom;Comunidade Católica Shalom;C;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/comunidade-catolica-shalom/sopra-em-meu-jardim/;https://www.cifraclub.com.br/comunidade-catolica-shalom/sopra-em-meu-jardim/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Sopra+em+Meu+Jardim;Pós-comunhão / oração / ação de graças;Sim
SOU DE DEUS;Ministério Amor e Adoração;Ministério Amor e Adoração;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/sou-de-deus/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/sou-de-deus/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Sou+de+Deus;Pós-comunhão / oração / ação de graças;Sim
SOU SÓ TEU;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/sou-so-teu/;https://www.cifraclub.com.br/davidson-silva/sou-so-teu/;https://www.youtube.com/results?search_query=Davidson+Silva+Sou+Só+Teu;Pós-comunhão / oração / ação de graças;Sim
SUFICIENTE PARA MIM;Ministério Missionário Shalom;Ministério Missionário Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/missionario-shalom/suficiente-para-mim/;https://www.cifraclub.com.br/missionario-shalom/suficiente-para-mim/;https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+Suficiente+Para+Mim;Pós-comunhão / oração / ação de graças;Sim
SUSCITAI, Ó SENHOR DEUS;Fr. Joel Postma;CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;;;https://www.youtube.com/watch?v=S6MSn1NN0po;Apresentação das oferendas / Pentecostes;Sim
SÃO FILHOS DE DEUS;"Reginaldo Veloso; José Américo Lacerda Jr.; Geraldo Leite Bastos";CNBB / Música Litúrgica;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=v-hSpzp-na8;Comunhão / Santíssima Trindade / Gl 4,6;Sim
SÓ ADORAR;Comunidade Católica Shalom;Comunidade Católica Shalom;;ADORACAO;Adoração;https://www.cifraclub.com.br/comunidade-catolica-shalom/so-adorar/;https://www.cifraclub.com.br/comunidade-catolica-shalom/so-adorar/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Só+Adorar;Adoração;Sim
SÓ EM TI;Adriana Arydes;Adriana Arydes;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/adriana/so-em-ti/;https://www.cifraclub.com.br/adriana/so-em-ti/;https://www.youtube.com/results?search_query=Adriana+Arydes+Só+em+Ti;Pós-comunhão / oração / ação de graças;Sim
SÓ POR TI, JESUS;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/so-por-ti-jesus/;https://www.cifraclub.com.br/davidson-silva/so-por-ti-jesus/;https://www.youtube.com/results?search_query=Davidson+Silva+Só+Por+Ti,+Jesus;Pós-comunhão / oração / ação de graças;Sim
SÓ QUERO A TI;Ministério Amor e Adoração;Ministério Amor e Adoração;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/so-quero-a-ti/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/so-quero-a-ti/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Só+Quero+a+Ti;Pós-comunhão / oração / ação de graças;Sim
SÓ TU ÉS SANTO;Comunidade Católica Shalom;Comunidade Católica Shalom;;SANTO;Santo;https://www.cifraclub.com.br/comunidade-catolica-shalom/so-tu-es-santo/;https://www.cifraclub.com.br/comunidade-catolica-shalom/so-tu-es-santo/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Só+Tu+És+Santo;Santo;Sim
SÓLO TU;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/solo-tu/;https://www.cifraclub.com.br/davidson-silva/solo-tu/;https://www.youtube.com/results?search_query=Davidson+Silva+Sólo+Tu;Pós-comunhão / oração / ação de graças;Sim
SÚPLICA AO ESPÍRITO SANTO;Frei Luiz Turra;Frei Luiz Turra;;ESPIRITO_SANTO;Espírito Santo;;;https://www.youtube.com/watch?v=fOKcVXWNszE;Pentecostes / súplica ao Espírito Santo;Sim
TANTO DEUS AMOU O MUNDO;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;;Comunhão / Exaltação da Santa Cruz / Jo 3,16;Sim
TE ENCONTRAREI;Ministério Amor e Adoração;Ministério Amor e Adoração;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/te-encontrarei/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/te-encontrarei/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Te+Encontrarei;Pós-comunhão / oração / ação de graças;Sim
TENDE COMPAIXÃO DE NÓS, SENHOR;"Missal Romano; Frei José Luiz Prim OFM";CNBB - Setor Música Litúrgica;C;ATO_PENITENCIAL;Ato Penitencial;;;;Ato penitencial / 2ª fórmula / Quaresma;Sim
TENDE PIEDADE;Ministério Amor e Adoração;Ministério Amor e Adoração;;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/tende-piedade/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/tende-piedade/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Tende+Piedade;Ato penitencial;Sim
TESOURO E HERANÇA;Comunidade Católica Shalom;Comunidade Católica Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/comunidade-catolica-shalom/tesouro-e-heranca/;https://www.cifraclub.com.br/comunidade-catolica-shalom/tesouro-e-heranca/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Tesouro+e+Herança;Pós-comunhão / oração / ação de graças;Sim
TEU ABRAÇO;Frei Gilson;Frei Gilson;B;OUTROS;Outros;https://www.cifraclub.com.br/frei-gilson/teu-abraco/;https://www.cifraclub.com.br/frei-gilson/teu-abraco/;https://www.youtube.com/results?search_query=Frei+Gilson+TEU+ABRA%C3%87O;Consolo / amor de Deus;Sim
TEU AMOR;Adriana Arydes;Adriana Arydes;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/adriana/teu-amor/;https://www.cifraclub.com.br/adriana/teu-amor/;https://www.youtube.com/results?search_query=Adriana+Arydes+Teu+Amor;Pós-comunhão / oração / ação de graças;Sim
TEU AMOR ME SUSTENTARÁ;Ministério Missionário Shalom;Ministério Missionário Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/missionario-shalom/teu-amor-me-sustentara/;https://www.cifraclub.com.br/missionario-shalom/teu-amor-me-sustentara/;https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+Teu+Amor+Me+Sustentará;Pós-comunhão / oração / ação de graças;Sim
TODA ADORAÇÃO;"Gustavo Osterno; Pedro Ivo; Guilherme Pontes; Keciane Lima";Comunidade Católica Shalom;G;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/comunidade-catolica-shalom/toda-adoracao/;https://www.cifraclub.com.br/comunidade-catolica-shalom/toda-adoracao/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+TODA+ADORA%C3%87%C3%83O;Pós-comunhão / adoração e louvor;Sim
TODO DIA;Ministério Amor e Adoração;Ministério Amor e Adoração;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/todo-dia/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/todo-dia/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Todo+Dia;Pós-comunhão / oração / ação de graças;Sim
TODO O QUE VIVE E CRÊ EM MIM;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;;Comunhão / Exaltação da Santa Cruz / Jo 11,26;Sim
TODO TEU;Ministério Missionário Shalom;Ministério Missionário Shalom;D;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/missionario-shalom/todo-teu/;https://www.cifraclub.com.br/missionario-shalom/todo-teu/;https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+Todo+Teu;Pós-comunhão / oração / ação de graças;Sim
TODOS FICARAM CHEIOS;Frei Wanderson Freitas;CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;;;https://www.youtube.com/watch?v=_gEnacvnn5Y;Pentecostes / Comunhão;Sim
TODOS FICARAM CHEIOS DO ESPÍRITO SANTO;Frei Joel Postma, OFM;CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;;;https://www.youtube.com/watch?v=qDXYr0efhaA;Pentecostes / Comunhão;Sim
TODOS OS MOTIVOS;Ministério Amor e Adoração;Ministério Amor e Adoração;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/todos-os-motivos/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/todos-os-motivos/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Todos+Os+Motivos;Pós-comunhão / oração / ação de graças;Sim
TOMÉ;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/tome/;https://www.cifraclub.com.br/davidson-silva/tome/;https://www.youtube.com/results?search_query=Davidson+Silva+Tomé;Pós-comunhão / oração / ação de graças;Sim
TOTUS TUUS;Comunidade Católica Shalom;Comunidade Católica Shalom;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+TOTUS+TUUS;Mariana / consagração a Nossa Senhora;Sim
TU ÉS A VIDA;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/tu-es-a-vida/;https://www.cifraclub.com.br/davidson-silva/tu-es-a-vida/;https://www.youtube.com/results?search_query=Davidson+Silva+Tu+És+a+Vida;Pós-comunhão / oração / ação de graças;Sim
TU ÉS O CENTRO;Frei Gilson;Frei Gilson;F;ADORACAO;Adoração;https://www.letras.mus.br/frei-gilson/3259766/;https://www.cifraclub.com.br/frei-gilson/tu-es-o-centro/;https://www.youtube.com/watch?v=FURNjcDNVd4;Adoração;Sim
TU ÉS REI;Ministério Amor e Adoração;Ministério Amor e Adoração;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/tu-es-rei/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/tu-es-rei/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Tu+És+Rei;Pós-comunhão / oração / ação de graças;Sim
