Titulo;Autor;Interprete;Tom;Categoria;Categoria rotulo;Link da letra;Link da cifra;Link de referencia;Observacao;Ativo
MINHA GRAÇA TE BASTA;Adriana Arydes;Adriana Arydes;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/adriana/minha-graca-te-basta/;https://www.cifraclub.com.br/adriana/minha-graca-te-basta/;https://www.youtube.com/results?search_query=Adriana+Arydes+Minha+Graça+Te+Basta;Pós-comunhão / oração / ação de graças;Sim
MINHA VIDA TEM SENTIDO;Padre Zezinho;Padre Zezinho;D;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/padre-zezinho/minha-vida-tem-sentido/;https://www.cifraclub.com.br/padre-zezinho/minha-vida-tem-sentido/;;Apresentação das oferendas / Pão, vinho e oferta do amor;Sim
MISERICÓRDIA SENHOR;Canção Nova;Canção Nova;;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/cancao-nova/misericordia-senhor/;https://www.cifraclub.com.br/cancao-nova/misericordia-senhor/;https://www.youtube.com/results?search_query=Canção+Nova+Misericórdia+Senhor;Ato penitencial;Sim
MISERICÓRDIA, Ó SENHOR;"Graduale Romanum; Liturgia das Horas; música: Frei Wanderson Luiz Freitas; Pe. J. Gelineau";CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Fiéis Defuntos;Sim
MISTÉRIO DA FÉ;Comunidade Católica Shalom;Comunidade Católica Shalom;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/comunidade-catolica-shalom/misterio-da-fe/;https://www.cifraclub.com.br/comunidade-catolica-shalom/misterio-da-fe/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Mistério+da+Fé;Pós-comunhão / oração / ação de graças;Sim
MORADA SANTA;Ministério Amor e Adoração;Ministério Amor e Adoração;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/morada-santa/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/morada-santa/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Morada+Santa;Pós-comunhão / oração / ação de graças;Sim
MUITO PERDOAIS;Comunidade Católica Shalom;Comunidade Católica Shalom;D;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/comunidade-catolica-shalom/muito-perdoais/;https://www.cifraclub.com.br/comunidade-catolica-shalom/muito-perdoais/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Muito+Perdoais;Ato penitencial;Sim
MUITOS GRÃOS DE TRIGO;José Acácio Santana;Músicas Católicas;C;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/catolicas/muitos-graos-de-trigo/;https://www.cifraclub.com.br/catolicas/muitos-graos-de-trigo/;https://www.youtube.com/watch?v=Ny5rgue22f0;Apresentação das oferendas / Pão, vinho e oferta da vida;Sim
MÃE DA CONFIANÇA;Comunidade Católica Shalom;Comunidade Católica Shalom;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+M%C3%83E+DA+CONFIAN%C3%87A;Mariana / confiança e intercessão;Sim
MÃE DA FÉ;Anjos de Resgate;Anjos de Resgate;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Anjos+de+Resgate+M%C3%83E+DA+F%C3%89;Mariana / fé e intercessão;Sim
MÃE DA PAZ;Missionário Shalom;Missionário Shalom;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Mission%C3%A1rio+Shalom+M%C3%83E+DA+PAZ;Mariana / Rainha da Paz;Sim
MÃE DE MISERICÓRDIA;COMUNIDADE CATÓLICA SHALOM;COMUNIDADE CATÓLICA SHALOM;;FINAL;Final;https://www.cifraclub.com.br/comunidade-catolica-shalom/mae-de-misericordia/;https://www.cifraclub.com.br/comunidade-catolica-shalom/mae-de-misericordia/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Mãe+de+Misericórdia;Ato penitencial;Sim
MÃE DE TODAS AS MÃES;Eliana Ribeiro;Eliana Ribeiro;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Eliana+Ribeiro+M%C3%83E+DE+TODAS+AS+M%C3%83ES;Mariana / maternidade e intercessão;Sim
MÃE DO CÉU;Frei Gilson;Frei Gilson;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Frei+Gilson+M%C3%83E+DO+C%C3%89U;Mariana / devoção a Nossa Senhora;Sim
